Project,Address,City,State,Description,First Mention,Last Mention,Latitude,Longitude
320 Sheridan Drive,320 Sheridan Drive,Menlo Park,CA,Use permit architectural control and BMR housing agreement to construct 88 100% affordable multifamily residential units in three 3-story buildings on a vacant substandard lot utilizing State density bonus laws.,2025-01-13T00:00:00-05:00,2025-03-24T00:00:00-04:00,37.476935,-122.170489
651A Coleman Avenue,651A Coleman Avenue,Menlo Park,CA,Use permit to reduce interior side setback for an accessory dwelling unit (ADU) from 4 feet to 3 feet for new construction or conversion of small structures.,2025-01-27T00:00:00-05:00,2025-01-27T00:00:00-05:00,37.461345,-122.161119
420 Pope Street,420 Pope Street,Menlo Park,CA,Use permit to demolish an existing single-story residence and detached structures and construct a new two-story single-family residence and detached garage on a substandard lot including an ADU.,2025-01-27T00:00:00-05:00,2025-01-27T00:00:00-05:00,37.460054,-122.155936
2319 Warner Range Avenue,2319 Warner Range Avenue,Menlo Park,CA,Use permit for excavation within the required rear setback for a retaining wall for a single-family residential property.,2025-01-27T00:00:00-05:00,2025-01-27T00:00:00-05:00,37.425947,-122.204581
360 El Camino Real,360 El Camino Real,Menlo Park,CA,Use permit for a second-story addition to an existing single-family residence on a substandard lot.,2025-01-27T00:00:00-05:00,2025-01-27T00:00:00-05:00,37.44986399,-122.1754681
332 Barton Way,332 Barton Way,Menlo Park,CA,Use permit revision for an existing nonconforming two-story single-family residence on a substandard lot including a ground floor addition and a new second-level deck.,2025-02-24T00:00:00-05:00,2025-02-24T00:00:00-05:00,37.458934,-122.158294
3705 Haven Avenue,3705 Haven Avenue,Menlo Park,CA,Use permit architectural control and BMR housing agreement to demolish an existing commercial building and construct an eight-story 112-unit multifamily residential building utilizing city and State density bonus laws (10 very low-income 4 moderate-income BMR units).,2025-02-24T00:00:00-05:00,2025-03-24T00:00:00-04:00,37.485557,-122.18225
670 Cambridge Avenue,670 Cambridge Avenue,Menlo Park,CA,Use permit to demolish an existing two-unit multifamily residence and accessory building and construct a new two-story single-family residence and detached garage including an attached ADU.,2025-03-10T00:00:00-04:00,2025-03-10T00:00:00-04:00,37.447377,-122.1753
340 Nova Lane,340 Nova Lane,Menlo Park,CA,Use permit to demolish an existing single-story single-family residence and detached garage and construct a new two-story single-family residence on a substandard lot	including an attached ADU.,2025-03-10T00:00:00-04:00,2025-03-10T00:00:00-04:00,37.45896,-122.157458
304 O'Keefe Street,304 O'Keefe Street,Menlo Park,CA,Use permit for a new two-story residence on a substandard lot including an attached ADU with previous garage conversion permits.,2025-03-24T00:00:00-04:00,2025-03-24T00:00:00-04:00,37.46348,-122.154662
1327 Cloud Drive,1327 Cloud Drive,Menlo Park,CA,Use permit revision for a second-story addition above an existing attached garage of a nonconforming single-story residence.,2025-03-24T00:00:00-04:00,2025-03-24T00:00:00-04:00,37.435068,-122.203104
3565 Haven Avenue,3565 Haven Avenue,Menlo Park,CA,Use permit for the use and storage of hazardous materials associated with a new research and development biotech business in an M.2 general industrial zoning district.,2025-03-24T00:00:00-04:00,2025-03-24T00:00:00-04:00,37.486819,-122.186855
228 San Mateo Drive,228 San Mateo Drive,Menlo Park,CA,Use permit to demolish an existing single-story single-family residence and construct a new two-story single-family residence with a basement on a substandard lot	including a detached ADU.,2025-04-14T00:00:00-04:00,2025-04-14T00:00:00-04:00,37.440908,-122.181571
108 Blackburn Avenue,108 Blackburn Avenue,Menlo Park,CA,Variance to reconstruct a nonconforming wall at a reduced setback of 5 feet where 5.5 feet is required for an existing single-family residence on a substandard lot in a flood zone.,2025-04-14T00:00:00-04:00,2025-04-14T00:00:00-04:00,37.45606,-122.162713
Springline Project,1300 El Camino Real,Menlo Park,CA,Development Agreement Annual Review to determine compliance for a mixed-use project with residential and commercial components including 20 BMR units.,2025-04-28T00:00:00-04:00,2025-05-19T00:00:00-04:00,37.455638,-122.185581
Middle Plaza,500 El Camino Real,Menlo Park,CA,Development Agreement Annual Review to determine compliance for a mixed-use project by Stanford University with residential units for affiliates and retail space including 8 BMR units.,2025-04-28T00:00:00-04:00,2025-04-28T00:00:00-04:00,37.451034,-122.177283
325 Sharon Park Drive,325 Sharon Park Drive,Menlo Park,CA,Architectural control and use permit for exterior modifications and change of use from personal service (spa) to a Fitness studio in a shopping center with substandard parking.,2025-05-05T00:00:00-04:00,2025-05-05T00:00:00-04:00,37.423695,-122.197218
Willow Village Master Plan,1350-1390 Willow Road,Menlo Park,CA,Development Agreement Annual Review to determine compliance for a 60-acre mixed-use master plan project.,2025-05-19T00:00:00-04:00,2025-05-19T00:00:00-04:00,37.479232,-122.150543
Willow Village Master Plan,925-1098 Hamilton Avenue,Menlo Park,CA,Development Agreement Annual Review to determine compliance for a 60-acre mixed-use master plan project.,2025-05-19T00:00:00-04:00,2025-05-19T00:00:00-04:00,37.477061,-122.148561
Willow Village Master Plan,1005-1275 Hamilton Court,Menlo Park,CA,Development Agreement Annual Review to determine compliance for a 60-acre mixed-use master plan project.,2025-05-19T00:00:00-04:00,2025-05-19T00:00:00-04:00,37.479453,-122.145871
Meta Platforms Development Agreements,One Hacker Way,Menlo Park,CA,One Meta Way Development Agreement Annual Review to determine compliance for East Campus West Campus and Campus Expansion projects.,2025-05-19T00:00:00-04:00,2025-05-19T00:00:00-04:00,37.483618,-122.14846
805 Harvard Avenue,805 Harvard Avenue,Menlo Park,CA,Use permit and variance to demolish an existing single-story residence and construct a new two-story single-family residence with a basement on a substandard corner lot including excavation for a light well and a garage entrance variance. Includes an attached ADU.,2025-06-09T00:00:00-04:00,2025-06-09T00:00:00-04:00,37.445491,-122.174854
St. Raymond School,1211 Arbor Road,Menlo Park,CA,Use permit to construct 6-foot tall metal fences/gates within the front setback transitioning to 8-foot tall fences and to modify site-wide parking and circulation plans.,2025-06-09T00:00:00-04:00,2025-06-09T00:00:00-04:00,37.447321,-122.189872
St. Raymond School,1231 Arbor Road,Menlo Park,CA,Use permit to construct 6-foot tall metal fences/gates within the front setback transitioning to 8-foot tall fences and to modify site-wide parking and circulation plans.,2025-06-09T00:00:00-04:00,2025-06-09T00:00:00-04:00,37.448145,-122.191376
St. Raymond School,1100 Santa Cruz Avenue,Menlo Park,CA,Use permit to construct 6-foot tall metal fences/gates within the front setback transitioning to 8-foot tall fences and to modify site-wide parking and circulation plans.,2025-06-09T00:00:00-04:00,2025-06-09T00:00:00-04:00,37.446759,-122.189121
1261 El Camino Real,1261 El Camino Real,Menlo Park,CA,Use permit to convert an existing personal service use into a massage use in a commercial building on a substandard parking lot.,2025-06-09T00:00:00-04:00,2025-06-09T00:00:00-04:00,37.45442,-122.185611
3553 Haven Avenue,3553 Haven Avenue,Menlo Park,CA,Use permit for a new fitness use in an existing multi-tenant commercial building on a property substandard with regard to minimum parking requirement.,2025-06-09T00:00:00-04:00,2025-06-09T00:00:00-04:00,37.487253,-122.188027
200-300 El Camino Real,200-300 El Camino Real,Menlo Park,CA,Architectural control permit for minor alterations to existing office buildings including installation of metal roll-up gates for underground parking entrances and a side-facing pedestrian entrance.,2025-06-23T00:00:00-04:00,2025-06-23T00:00:00-04:00,37.449091,-122.17432
1221 Windermere Avenue,1221 Windermere Avenue,Menlo Park,CA,Use permit item continued to August 11 2025,2025-07-14T00:00:00-04:00,2025-07-14T00:00:00-04:00,37.475121,-122.159251
303 Concord Drive,303 Concord Drive,Menlo Park,CA,Use permit to construct first-floor additions and interior modifications to an existing nonconforming single-story residence including an attached ADU and Junior ADU (JADU).,2025-07-14T00:00:00-04:00,2025-07-14T00:00:00-04:00,37.455532,-122.157879
3000 Sand Hill Road,3000 Sand Hill Road,Menlo Park,CA,Use permit to modify an ABC license from beer/wine to general eating place (allowing distilled spirits) and modify hours of operation to 8 AM - 7 PM 7 days a week for an existing restaurant.,2025-07-14T00:00:00-04:00,2025-07-14T00:00:00-04:00,37.423512,-122.22115
125-135 Constitution Drive,125-135 Constitution Drive,Menlo Park,CA,Use permit for the sale of beer and wine for on-site consumption at existing corporate campus cafeterias.,2025-07-14T00:00:00-04:00,2025-07-14T00:00:00-04:00,37.485318,-122.176482
519 Central Avenue,519 Central Avenue,Menlo Park,CA,Use permit to demolish an existing single-story single-family residence and construct a new two-story single-family residence on a substandard lot including an attached ADU and removal of a street tree.,2025-07-14T00:00:00-04:00,2025-07-14T00:00:00-04:00,37.461171,-122.153699
700-800 El Camino Real,700-800 El Camino Real,Menlo Park,CA,Use permit to modify the Planned Development Permit (PDP) for an existing full-service grocery store (Draeger's Market).,2025-07-14T00:00:00-04:00,2025-07-14T00:00:00-04:00,37.452103,-122.178817